Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
617,851,2010,0.00,ALL,ALL,ALL,0TO99
618,849,2010,0.00,ALL,ALL,ALL,0TO99
618,850,2010,0.00,ALL,ALL,ALL,0TO99
630,883,2010,74711.55,ALL,ALL,ALL,0TO99
630,884,2010,109310.73,ALL,ALL,ALL,0TO99
631,883,2010,118225.67,ALL,ALL,ALL,0TO99
631,884,2010,118098.58,ALL,ALL,ALL,0TO99
632,880,2010,14025.38,ALL,ALL,ALL,0TO99
632,881,2010,99469.91,ALL,ALL,ALL,0TO99
632,882,2010,117647.56,ALL,ALL,ALL,0TO99
632,883,2010,118225.67,ALL,ALL,ALL,0TO99
632,884,2010,118098.58,ALL,ALL,ALL,0TO99
632,885,2010,67141.57,ALL,ALL,ALL,0TO99
633,879,2010,615.13,ALL,ALL,ALL,0TO99
633,880,2010,9082.07,ALL,ALL,ALL,0TO99
633,881,2010,99930.20,ALL,ALL,ALL,0TO99
633,882,2010,118114.73,ALL,ALL,ALL,0TO99
633,883,2010,108084.95,ALL,ALL,ALL,0TO99
633,884,2010,112939.71,ALL,ALL,ALL,0TO99
633,885,2010,69898.25,ALL,ALL,ALL,0TO99
634,875,2010,577.51,ALL,ALL,ALL,0TO99
634,879,2010,1023.80,ALL,ALL,ALL,0TO99
634,880,2010,1037.28,ALL,ALL,ALL,0TO99
634,881,2010,79556.04,ALL,ALL,ALL,0TO99
634,882,2010,90335.46,ALL,ALL,ALL,0TO99
634,883,2010,58882.85,ALL,ALL,ALL,0TO99
634,884,2010,21150.47,ALL,ALL,ALL,0TO99
634,885,2010,9176.75,ALL,ALL,ALL,0TO99
635,874,2010,501.15,ALL,ALL,ALL,0TO99
635,875,2010,1038.85,ALL,ALL,ALL,0TO99
635,876,2010,1041.82,ALL,ALL,ALL,0TO99
635,877,2010,1021.96,ALL,ALL,ALL,0TO99
635,878,2010,996.23,ALL,ALL,ALL,0TO99
635,879,2010,1038.46,ALL,ALL,ALL,0TO99
635,880,2010,1037.28,ALL,ALL,ALL,0TO99
635,881,2010,32212.82,ALL,ALL,ALL,0TO99
635,882,2010,7875.30,ALL,ALL,ALL,0TO99
635,883,2010,17793.62,ALL,ALL,ALL,0TO99
635,884,2010,3485.78,ALL,ALL,ALL,0TO99
635,885,2010,2345.40,ALL,ALL,ALL,0TO99
636,874,2010,1029.82,ALL,ALL,ALL,0TO99
636,875,2010,1042.91,ALL,ALL,ALL,0TO99
636,876,2010,1041.82,ALL,ALL,ALL,0TO99
636,877,2010,1040.69,ALL,ALL,ALL,0TO99
636,878,2010,1039.56,ALL,ALL,ALL,0TO99
636,879,2010,1038.46,ALL,ALL,ALL,0TO99
636,880,2010,1039.67,ALL,ALL,ALL,0TO99
636,881,2010,2320.66,ALL,ALL,ALL,0TO99
636,882,2010,2833.11,ALL,ALL,ALL,0TO99
636,883,2010,2829.97,ALL,ALL,ALL,0TO99
636,884,2010,2826.92,ALL,ALL,ALL,0TO99
636,885,2010,2482.46,ALL,ALL,ALL,0TO99
637,872,2010,683.68,ALL,ALL,ALL,0TO99
637,873,2010,1043.89,ALL,ALL,ALL,0TO99
637,874,2010,1044.07,ALL,ALL,ALL,0TO99
637,875,2010,1042.91,ALL,ALL,ALL,0TO99
637,876,2010,1041.82,ALL,ALL,ALL,0TO99
637,877,2010,1040.69,ALL,ALL,ALL,0TO99
637,878,2010,1039.56,ALL,ALL,ALL,0TO99
637,879,2010,1038.46,ALL,ALL,ALL,0TO99
637,880,2010,1048.30,ALL,ALL,ALL,0TO99
637,881,2010,2399.71,ALL,ALL,ALL,0TO99
637,882,2010,2833.11,ALL,ALL,ALL,0TO99
637,883,2010,2829.97,ALL,ALL,ALL,0TO99
637,884,2010,2826.92,ALL,ALL,ALL,0TO99
637,885,2010,2548.07,ALL,ALL,ALL,0TO99
638,870,2010,1017.97,ALL,ALL,ALL,0TO99
638,871,2010,1004.88,ALL,ALL,ALL,0TO99
638,872,2010,1044.94,ALL,ALL,ALL,0TO99
638,873,2010,1045.16,ALL,ALL,ALL,0TO99
638,874,2010,1044.07,ALL,ALL,ALL,0TO99
638,875,2010,1042.91,ALL,ALL,ALL,0TO99
638,876,2010,1041.82,ALL,ALL,ALL,0TO99
638,877,2010,1040.69,ALL,ALL,ALL,0TO99
638,878,2010,1039.56,ALL,ALL,ALL,0TO99
638,879,2010,1038.46,ALL,ALL,ALL,0TO99
638,880,2010,1097.80,ALL,ALL,ALL,0TO99
638,881,2010,2476.20,ALL,ALL,ALL,0TO99
638,882,2010,2833.11,ALL,ALL,ALL,0TO99
638,883,2010,2829.97,ALL,ALL,ALL,0TO99
638,884,2010,2826.92,ALL,ALL,ALL,0TO99
638,885,2010,2613.94,ALL,ALL,ALL,0TO99
639,869,2010,1044.45,ALL,ALL,ALL,0TO99
639,870,2010,1048.46,ALL,ALL,ALL,0TO99
639,871,2010,1047.39,ALL,ALL,ALL,0TO99
639,872,2010,1046.27,ALL,ALL,ALL,0TO99
639,873,2010,1045.16,ALL,ALL,ALL,0TO99
639,874,2010,1044.07,ALL,ALL,ALL,0TO99
639,875,2010,1042.91,ALL,ALL,ALL,0TO99
639,876,2010,1041.82,ALL,ALL,ALL,0TO99
639,877,2010,1040.69,ALL,ALL,ALL,0TO99
639,878,2010,1039.56,ALL,ALL,ALL,0TO99
639,879,2010,1038.46,ALL,ALL,ALL,0TO99
639,880,2010,1069.08,ALL,ALL,ALL,0TO99
639,881,2010,2430.28,ALL,ALL,ALL,0TO99
639,882,2010,2833.11,ALL,ALL,ALL,0TO99
639,883,2010,2829.97,ALL,ALL,ALL,0TO99
639,884,2010,2826.92,ALL,ALL,ALL,0TO99
639,885,2010,2677.20,ALL,ALL,ALL,0TO99
640,868,2010,967.63,ALL,ALL,ALL,0TO99
640,869,2010,1049.61,ALL,ALL,ALL,0TO99
640,870,2010,1048.46,ALL,ALL,ALL,0TO99
640,871,2010,1047.39,ALL,ALL,ALL,0TO99
640,872,2010,1046.27,ALL,ALL,ALL,0TO99
640,873,2010,1045.16,ALL,ALL,ALL,0TO99
640,874,2010,1044.07,ALL,ALL,ALL,0TO99
640,875,2010,1042.91,ALL,ALL,ALL,0TO99
640,876,2010,1041.82,ALL,ALL,ALL,0TO99
640,877,2010,1040.69,ALL,ALL,ALL,0TO99
640,878,2010,1039.56,ALL,ALL,ALL,0TO99
640,879,2010,1038.46,ALL,ALL,ALL,0TO99
640,880,2010,1119.86,ALL,ALL,ALL,0TO99
640,881,2010,2509.88,ALL,ALL,ALL,0TO99
640,882,2010,2833.11,ALL,ALL,ALL,0TO99
640,883,2010,2829.97,ALL,ALL,ALL,0TO99
640,884,2010,2826.92,ALL,ALL,ALL,0TO99
640,885,2010,2730.40,ALL,ALL,ALL,0TO99
641,865,2010,1053.93,ALL,ALL,ALL,0TO99
641,866,2010,1052.87,ALL,ALL,ALL,0TO99
641,867,2010,1051.77,ALL,ALL,ALL,0TO99
641,868,2010,1050.67,ALL,ALL,ALL,0TO99
641,869,2010,1049.61,ALL,ALL,ALL,0TO99
641,870,2010,1048.46,ALL,ALL,ALL,0TO99
641,871,2010,1047.39,ALL,ALL,ALL,0TO99
641,872,2010,1046.27,ALL,ALL,ALL,0TO99
641,873,2010,1045.16,ALL,ALL,ALL,0TO99
641,874,2010,1044.07,ALL,ALL,ALL,0TO99
641,875,2010,1042.91,ALL,ALL,ALL,0TO99
641,876,2010,1041.82,ALL,ALL,ALL,0TO99
641,877,2010,1040.69,ALL,ALL,ALL,0TO99
641,878,2010,1245.95,ALL,ALL,ALL,0TO99
641,879,2010,1430.12,ALL,ALL,ALL,0TO99
641,880,2010,1520.29,ALL,ALL,ALL,0TO99
641,881,2010,2676.21,ALL,ALL,ALL,0TO99
641,882,2010,2833.11,ALL,ALL,ALL,0TO99
641,883,2010,2829.97,ALL,ALL,ALL,0TO99
641,884,2010,2826.92,ALL,ALL,ALL,0TO99
641,885,2010,2804.35,ALL,ALL,ALL,0TO99
642,864,2010,1040.38,ALL,ALL,ALL,0TO99
642,865,2010,1053.93,ALL,ALL,ALL,0TO99
642,866,2010,1052.87,ALL,ALL,ALL,0TO99
642,867,2010,1051.77,ALL,ALL,ALL,0TO99
642,868,2010,1050.67,ALL,ALL,ALL,0TO99
642,869,2010,1049.61,ALL,ALL,ALL,0TO99
642,870,2010,1048.46,ALL,ALL,ALL,0TO99
642,871,2010,1047.39,ALL,ALL,ALL,0TO99
642,872,2010,1046.27,ALL,ALL,ALL,0TO99
642,873,2010,1045.16,ALL,ALL,ALL,0TO99
642,874,2010,1044.07,ALL,ALL,ALL,0TO99
642,875,2010,1042.91,ALL,ALL,ALL,0TO99
642,876,2010,1041.82,ALL,ALL,ALL,0TO99
642,877,2010,2301.99,ALL,ALL,ALL,0TO99
642,878,2010,5026.78,ALL,ALL,ALL,0TO99
642,879,2010,5815.77,ALL,ALL,ALL,0TO99
642,880,2010,5747.38,ALL,ALL,ALL,0TO99
642,881,2010,5447.21,ALL,ALL,ALL,0TO99
642,882,2010,4693.22,ALL,ALL,ALL,0TO99
642,883,2010,3928.55,ALL,ALL,ALL,0TO99
642,884,2010,3541.63,ALL,ALL,ALL,0TO99
642,885,2010,3059.66,ALL,ALL,ALL,0TO99
643,860,2010,910.76,ALL,ALL,ALL,0TO99
643,861,2010,954.06,ALL,ALL,ALL,0TO99
643,862,2010,982.81,ALL,ALL,ALL,0TO99
643,863,2010,1045.35,ALL,ALL,ALL,0TO99
643,864,2010,1055.06,ALL,ALL,ALL,0TO99
643,865,2010,1053.93,ALL,ALL,ALL,0TO99
643,866,2010,1052.87,ALL,ALL,ALL,0TO99
643,867,2010,1051.77,ALL,ALL,ALL,0TO99
643,868,2010,1050.67,ALL,ALL,ALL,0TO99
643,869,2010,1049.61,ALL,ALL,ALL,0TO99
643,870,2010,1048.46,ALL,ALL,ALL,0TO99
643,871,2010,1047.39,ALL,ALL,ALL,0TO99
643,872,2010,1046.27,ALL,ALL,ALL,0TO99
643,873,2010,1045.16,ALL,ALL,ALL,0TO99
643,874,2010,1044.07,ALL,ALL,ALL,0TO99
643,875,2010,1106.81,ALL,ALL,ALL,0TO99
643,876,2010,2918.20,ALL,ALL,ALL,0TO99
643,877,2010,6277.54,ALL,ALL,ALL,0TO99
643,878,2010,6631.88,ALL,ALL,ALL,0TO99
643,879,2010,6624.88,ALL,ALL,ALL,0TO99
643,880,2010,6617.37,ALL,ALL,ALL,0TO99
643,881,2010,6610.32,ALL,ALL,ALL,0TO99
643,882,2010,6140.20,ALL,ALL,ALL,0TO99
643,883,2010,2924.33,ALL,ALL,ALL,0TO99
643,884,2010,3008.16,ALL,ALL,ALL,0TO99
643,885,2010,4329.34,ALL,ALL,ALL,0TO99
644,857,2010,761.71,ALL,ALL,ALL,0TO99
644,858,2010,923.61,ALL,ALL,ALL,0TO99
644,859,2010,1052.25,ALL,ALL,ALL,0TO99
644,860,2010,1059.32,ALL,ALL,ALL,0TO99
644,861,2010,1058.27,ALL,ALL,ALL,0TO99
644,862,2010,1057.19,ALL,ALL,ALL,0TO99
644,863,2010,1056.11,ALL,ALL,ALL,0TO99
644,864,2010,1055.06,ALL,ALL,ALL,0TO99
644,865,2010,1053.93,ALL,ALL,ALL,0TO99
644,866,2010,1052.87,ALL,ALL,ALL,0TO99
644,867,2010,1051.77,ALL,ALL,ALL,0TO99
644,868,2010,1050.67,ALL,ALL,ALL,0TO99
644,869,2010,1049.61,ALL,ALL,ALL,0TO99
644,870,2010,1048.46,ALL,ALL,ALL,0TO99
644,871,2010,1047.39,ALL,ALL,ALL,0TO99
644,872,2010,1047.53,ALL,ALL,ALL,0TO99
644,873,2010,1050.18,ALL,ALL,ALL,0TO99
644,874,2010,1061.13,ALL,ALL,ALL,0TO99
644,875,2010,3568.45,ALL,ALL,ALL,0TO99
644,876,2010,6504.29,ALL,ALL,ALL,0TO99
644,877,2010,6639.12,ALL,ALL,ALL,0TO99
644,878,2010,6631.88,ALL,ALL,ALL,0TO99
644,879,2010,6624.88,ALL,ALL,ALL,0TO99
644,880,2010,6617.37,ALL,ALL,ALL,0TO99
644,881,2010,6573.65,ALL,ALL,ALL,0TO99
644,882,2010,1378.36,ALL,ALL,ALL,0TO99
644,883,2010,7.40,ALL,ALL,ALL,0TO99
644,884,2010,1486.98,ALL,ALL,ALL,0TO99
644,885,2010,5811.96,ALL,ALL,ALL,0TO99
644,886,2010,3823.17,ALL,ALL,ALL,0TO99
645,857,2010,1045.15,ALL,ALL,ALL,0TO99
645,858,2010,1061.46,ALL,ALL,ALL,0TO99
645,859,2010,1060.43,ALL,ALL,ALL,0TO99
645,860,2010,1059.32,ALL,ALL,ALL,0TO99
645,861,2010,1058.27,ALL,ALL,ALL,0TO99
645,862,2010,1057.19,ALL,ALL,ALL,0TO99
645,863,2010,1056.11,ALL,ALL,ALL,0TO99
645,864,2010,1055.06,ALL,ALL,ALL,0TO99
645,865,2010,1053.93,ALL,ALL,ALL,0TO99
645,866,2010,1052.87,ALL,ALL,ALL,0TO99
645,867,2010,1051.77,ALL,ALL,ALL,0TO99
645,868,2010,1050.67,ALL,ALL,ALL,0TO99
645,869,2010,2057.66,ALL,ALL,ALL,0TO99
645,870,2010,1048.46,ALL,ALL,ALL,0TO99
645,871,2010,1600.29,ALL,ALL,ALL,0TO99
645,872,2010,3778.51,ALL,ALL,ALL,0TO99
645,873,2010,5148.61,ALL,ALL,ALL,0TO99
645,874,2010,4578.76,ALL,ALL,ALL,0TO99
645,875,2010,6532.62,ALL,ALL,ALL,0TO99
645,876,2010,6646.32,ALL,ALL,ALL,0TO99
645,877,2010,6639.12,ALL,ALL,ALL,0TO99
645,878,2010,6631.88,ALL,ALL,ALL,0TO99
645,879,2010,6624.88,ALL,ALL,ALL,0TO99
645,880,2010,6617.37,ALL,ALL,ALL,0TO99
645,881,2010,3994.10,ALL,ALL,ALL,0TO99
645,882,2010,3090.87,ALL,ALL,ALL,0TO99
645,883,2010,3781.62,ALL,ALL,ALL,0TO99
645,884,2010,6061.53,ALL,ALL,ALL,0TO99
645,885,2010,6580.95,ALL,ALL,ALL,0TO99
645,886,2010,13225.60,ALL,ALL,ALL,0TO99
646,856,2010,881.00,ALL,ALL,ALL,0TO99
646,857,2010,1062.53,ALL,ALL,ALL,0TO99
646,858,2010,1061.46,ALL,ALL,ALL,0TO99
646,859,2010,1060.43,ALL,ALL,ALL,0TO99
646,860,2010,1059.32,ALL,ALL,ALL,0TO99
646,861,2010,1058.27,ALL,ALL,ALL,0TO99
646,862,2010,1057.19,ALL,ALL,ALL,0TO99
646,863,2010,1056.11,ALL,ALL,ALL,0TO99
646,864,2010,1055.06,ALL,ALL,ALL,0TO99
646,865,2010,1053.93,ALL,ALL,ALL,0TO99
646,866,2010,1052.87,ALL,ALL,ALL,0TO99
646,867,2010,1051.77,ALL,ALL,ALL,0TO99
646,868,2010,1081.95,ALL,ALL,ALL,0TO99
646,869,2010,4861.44,ALL,ALL,ALL,0TO99
646,870,2010,4958.30,ALL,ALL,ALL,0TO99
646,871,2010,6459.37,ALL,ALL,ALL,0TO99
646,872,2010,6674.72,ALL,ALL,ALL,0TO99
646,873,2010,6667.58,ALL,ALL,ALL,0TO99
646,874,2010,6660.68,ALL,ALL,ALL,0TO99
646,875,2010,6653.28,ALL,ALL,ALL,0TO99
646,876,2010,6646.32,ALL,ALL,ALL,0TO99
646,877,2010,6639.12,ALL,ALL,ALL,0TO99
646,878,2010,6627.58,ALL,ALL,ALL,0TO99
646,879,2010,6467.73,ALL,ALL,ALL,0TO99
646,880,2010,5949.48,ALL,ALL,ALL,0TO99
646,881,2010,5780.86,ALL,ALL,ALL,0TO99
646,882,2010,6602.89,ALL,ALL,ALL,0TO99
646,883,2010,6595.68,ALL,ALL,ALL,0TO99
646,884,2010,6588.58,ALL,ALL,ALL,0TO99
646,885,2010,6580.95,ALL,ALL,ALL,0TO99
646,886,2010,20093.30,ALL,ALL,ALL,0TO99
647,855,2010,461.13,ALL,ALL,ALL,0TO99
647,856,2010,1061.73,ALL,ALL,ALL,0TO99
647,857,2010,1062.53,ALL,ALL,ALL,0TO99
647,858,2010,1061.46,ALL,ALL,ALL,0TO99
647,859,2010,1060.43,ALL,ALL,ALL,0TO99
647,860,2010,1059.32,ALL,ALL,ALL,0TO99
647,861,2010,1058.27,ALL,ALL,ALL,0TO99
647,862,2010,1057.19,ALL,ALL,ALL,0TO99
647,863,2010,1056.11,ALL,ALL,ALL,0TO99
647,864,2010,1055.06,ALL,ALL,ALL,0TO99
647,865,2010,1053.93,ALL,ALL,ALL,0TO99
647,866,2010,1052.87,ALL,ALL,ALL,0TO99
647,867,2010,1051.77,ALL,ALL,ALL,0TO99
647,868,2010,1574.61,ALL,ALL,ALL,0TO99
647,869,2010,6099.18,ALL,ALL,ALL,0TO99
647,870,2010,6688.67,ALL,ALL,ALL,0TO99
647,871,2010,6681.84,ALL,ALL,ALL,0TO99
647,872,2010,6674.72,ALL,ALL,ALL,0TO99
647,873,2010,6667.58,ALL,ALL,ALL,0TO99
647,874,2010,6660.68,ALL,ALL,ALL,0TO99
647,875,2010,6653.28,ALL,ALL,ALL,0TO99
647,876,2010,6646.32,ALL,ALL,ALL,0TO99
647,877,2010,6610.26,ALL,ALL,ALL,0TO99
647,878,2010,3993.73,ALL,ALL,ALL,0TO99
647,879,2010,2316.34,ALL,ALL,ALL,0TO99
647,880,2010,5856.30,ALL,ALL,ALL,0TO99
647,881,2010,6595.12,ALL,ALL,ALL,0TO99
647,882,2010,6603.01,ALL,ALL,ALL,0TO99
647,883,2010,6595.68,ALL,ALL,ALL,0TO99
647,884,2010,6588.58,ALL,ALL,ALL,0TO99
647,885,2010,6580.95,ALL,ALL,ALL,0TO99
647,886,2010,5051.02,ALL,ALL,ALL,0TO99
648,841,2010,0.00,ALL,ALL,ALL,0TO99
648,842,2010,0.00,ALL,ALL,ALL,0TO99
648,843,2010,0.00,ALL,ALL,ALL,0TO99
648,855,2010,904.56,ALL,ALL,ALL,0TO99
648,856,2010,1063.60,ALL,ALL,ALL,0TO99
648,857,2010,1062.53,ALL,ALL,ALL,0TO99
648,858,2010,1061.46,ALL,ALL,ALL,0TO99
648,859,2010,1060.43,ALL,ALL,ALL,0TO99
648,860,2010,1059.32,ALL,ALL,ALL,0TO99
648,861,2010,1058.27,ALL,ALL,ALL,0TO99
648,862,2010,1057.19,ALL,ALL,ALL,0TO99
648,863,2010,1056.11,ALL,ALL,ALL,0TO99
648,864,2010,1055.06,ALL,ALL,ALL,0TO99
648,865,2010,1053.93,ALL,ALL,ALL,0TO99
648,866,2010,1052.87,ALL,ALL,ALL,0TO99
648,867,2010,1051.77,ALL,ALL,ALL,0TO99
648,868,2010,1710.41,ALL,ALL,ALL,0TO99
648,869,2010,6169.60,ALL,ALL,ALL,0TO99
648,870,2010,6688.67,ALL,ALL,ALL,0TO99
648,871,2010,6681.84,ALL,ALL,ALL,0TO99
648,872,2010,6674.72,ALL,ALL,ALL,0TO99
648,873,2010,6667.58,ALL,ALL,ALL,0TO99
648,874,2010,6660.68,ALL,ALL,ALL,0TO99
648,875,2010,6653.28,ALL,ALL,ALL,0TO99
648,876,2010,6646.32,ALL,ALL,ALL,0TO99
648,877,2010,6547.74,ALL,ALL,ALL,0TO99
648,878,2010,2112.15,ALL,ALL,ALL,0TO99
648,879,2010,2303.49,ALL,ALL,ALL,0TO99
648,880,2010,6617.37,ALL,ALL,ALL,0TO99
648,881,2010,6610.32,ALL,ALL,ALL,0TO99
648,882,2010,6603.01,ALL,ALL,ALL,0TO99
648,883,2010,6595.68,ALL,ALL,ALL,0TO99
648,884,2010,6588.58,ALL,ALL,ALL,0TO99
648,885,2010,6580.95,ALL,ALL,ALL,0TO99
648,886,2010,4957.32,ALL,ALL,ALL,0TO99
649,841,2010,0.00,ALL,ALL,ALL,0TO99
649,854,2010,756.56,ALL,ALL,ALL,0TO99
649,855,2010,1064.62,ALL,ALL,ALL,0TO99
649,856,2010,1063.60,ALL,ALL,ALL,0TO99
649,857,2010,1062.53,ALL,ALL,ALL,0TO99
649,858,2010,1061.46,ALL,ALL,ALL,0TO99
649,859,2010,1060.43,ALL,ALL,ALL,0TO99
649,860,2010,1059.32,ALL,ALL,ALL,0TO99
649,861,2010,1058.27,ALL,ALL,ALL,0TO99
649,862,2010,1057.19,ALL,ALL,ALL,0TO99
649,863,2010,1056.11,ALL,ALL,ALL,0TO99
649,864,2010,1055.06,ALL,ALL,ALL,0TO99
649,865,2010,1053.93,ALL,ALL,ALL,0TO99
649,866,2010,1052.87,ALL,ALL,ALL,0TO99
649,867,2010,1051.77,ALL,ALL,ALL,0TO99
649,868,2010,2260.95,ALL,ALL,ALL,0TO99
649,869,2010,6410.54,ALL,ALL,ALL,0TO99
649,870,2010,6688.67,ALL,ALL,ALL,0TO99
649,871,2010,6681.84,ALL,ALL,ALL,0TO99
649,872,2010,6674.72,ALL,ALL,ALL,0TO99
649,873,2010,6667.58,ALL,ALL,ALL,0TO99
649,874,2010,6660.68,ALL,ALL,ALL,0TO99
649,875,2010,6653.28,ALL,ALL,ALL,0TO99
649,876,2010,6646.32,ALL,ALL,ALL,0TO99
649,877,2010,6639.12,ALL,ALL,ALL,0TO99
649,878,2010,5304.41,ALL,ALL,ALL,0TO99
649,879,2010,4860.55,ALL,ALL,ALL,0TO99
649,880,2010,6617.37,ALL,ALL,ALL,0TO99
649,881,2010,6610.32,ALL,ALL,ALL,0TO99
649,882,2010,6603.01,ALL,ALL,ALL,0TO99
649,883,2010,6595.68,ALL,ALL,ALL,0TO99
649,884,2010,6588.58,ALL,ALL,ALL,0TO99
649,885,2010,6580.95,ALL,ALL,ALL,0TO99
649,886,2010,5303.91,ALL,ALL,ALL,0TO99
650,854,2010,945.82,ALL,ALL,ALL,0TO99
650,855,2010,1064.62,ALL,ALL,ALL,0TO99
650,856,2010,1063.60,ALL,ALL,ALL,0TO99
650,857,2010,1062.53,ALL,ALL,ALL,0TO99
650,858,2010,1061.46,ALL,ALL,ALL,0TO99
650,859,2010,1060.43,ALL,ALL,ALL,0TO99
650,860,2010,1059.32,ALL,ALL,ALL,0TO99
650,861,2010,1058.27,ALL,ALL,ALL,0TO99
650,862,2010,1057.19,ALL,ALL,ALL,0TO99
650,863,2010,1056.11,ALL,ALL,ALL,0TO99
650,864,2010,1055.06,ALL,ALL,ALL,0TO99
650,865,2010,1053.93,ALL,ALL,ALL,0TO99
650,866,2010,1052.87,ALL,ALL,ALL,0TO99
650,867,2010,1051.77,ALL,ALL,ALL,0TO99
650,868,2010,1812.53,ALL,ALL,ALL,0TO99
650,869,2010,6262.31,ALL,ALL,ALL,0TO99
650,870,2010,6688.67,ALL,ALL,ALL,0TO99
650,871,2010,6681.84,ALL,ALL,ALL,0TO99
650,872,2010,6674.72,ALL,ALL,ALL,0TO99
650,873,2010,6667.58,ALL,ALL,ALL,0TO99
650,874,2010,6660.68,ALL,ALL,ALL,0TO99
650,875,2010,6653.28,ALL,ALL,ALL,0TO99
650,876,2010,6646.32,ALL,ALL,ALL,0TO99
650,877,2010,6639.12,ALL,ALL,ALL,0TO99
650,878,2010,6631.88,ALL,ALL,ALL,0TO99
650,879,2010,6217.88,ALL,ALL,ALL,0TO99
650,880,2010,6465.25,ALL,ALL,ALL,0TO99
650,881,2010,6556.24,ALL,ALL,ALL,0TO99
650,882,2010,5987.38,ALL,ALL,ALL,0TO99
650,883,2010,6405.35,ALL,ALL,ALL,0TO99
650,884,2010,6588.58,ALL,ALL,ALL,0TO99
650,885,2010,6580.95,ALL,ALL,ALL,0TO99
650,886,2010,5688.49,ALL,ALL,ALL,0TO99
651,837,2010,148.87,ALL,ALL,ALL,0TO99
651,854,2010,1059.47,ALL,ALL,ALL,0TO99
651,855,2010,1064.62,ALL,ALL,ALL,0TO99
651,856,2010,1063.60,ALL,ALL,ALL,0TO99
651,857,2010,1062.53,ALL,ALL,ALL,0TO99
651,858,2010,1061.46,ALL,ALL,ALL,0TO99
651,859,2010,1060.43,ALL,ALL,ALL,0TO99
651,860,2010,1059.32,ALL,ALL,ALL,0TO99
651,861,2010,1058.27,ALL,ALL,ALL,0TO99
651,862,2010,1057.19,ALL,ALL,ALL,0TO99
651,863,2010,1056.11,ALL,ALL,ALL,0TO99
651,864,2010,1055.06,ALL,ALL,ALL,0TO99
651,865,2010,1053.93,ALL,ALL,ALL,0TO99
651,866,2010,1052.87,ALL,ALL,ALL,0TO99
651,867,2010,1051.77,ALL,ALL,ALL,0TO99
651,868,2010,1816.93,ALL,ALL,ALL,0TO99
651,869,2010,6265.24,ALL,ALL,ALL,0TO99
651,870,2010,6680.80,ALL,ALL,ALL,0TO99
651,871,2010,6477.47,ALL,ALL,ALL,0TO99
651,872,2010,6490.17,ALL,ALL,ALL,0TO99
651,873,2010,6417.36,ALL,ALL,ALL,0TO99
651,874,2010,6373.34,ALL,ALL,ALL,0TO99
651,875,2010,5721.41,ALL,ALL,ALL,0TO99
651,876,2010,5868.03,ALL,ALL,ALL,0TO99
651,877,2010,6634.35,ALL,ALL,ALL,0TO99
651,878,2010,5521.15,ALL,ALL,ALL,0TO99
651,879,2010,2437.88,ALL,ALL,ALL,0TO99
651,880,2010,2373.76,ALL,ALL,ALL,0TO99
651,881,2010,2526.84,ALL,ALL,ALL,0TO99
651,882,2010,2520.77,ALL,ALL,ALL,0TO99
651,883,2010,3323.07,ALL,ALL,ALL,0TO99
651,884,2010,5081.91,ALL,ALL,ALL,0TO99
651,885,2010,6580.95,ALL,ALL,ALL,0TO99
651,886,2010,6100.67,ALL,ALL,ALL,0TO99
652,837,2010,166.98,ALL,ALL,ALL,0TO99
652,853,2010,1033.51,ALL,ALL,ALL,0TO99
652,854,2010,1065.72,ALL,ALL,ALL,0TO99
652,855,2010,1064.62,ALL,ALL,ALL,0TO99
652,856,2010,1063.60,ALL,ALL,ALL,0TO99
652,857,2010,1062.53,ALL,ALL,ALL,0TO99
652,858,2010,1061.46,ALL,ALL,ALL,0TO99
652,859,2010,1060.43,ALL,ALL,ALL,0TO99
652,860,2010,1059.32,ALL,ALL,ALL,0TO99
652,861,2010,1058.27,ALL,ALL,ALL,0TO99
652,862,2010,1057.19,ALL,ALL,ALL,0TO99
652,863,2010,1056.11,ALL,ALL,ALL,0TO99
652,864,2010,1055.06,ALL,ALL,ALL,0TO99
652,865,2010,1053.93,ALL,ALL,ALL,0TO99
652,866,2010,1052.87,ALL,ALL,ALL,0TO99
652,867,2010,1051.77,ALL,ALL,ALL,0TO99
652,868,2010,1842.82,ALL,ALL,ALL,0TO99
652,869,2010,5917.03,ALL,ALL,ALL,0TO99
652,870,2010,4294.73,ALL,ALL,ALL,0TO99
652,875,2010,3573.76,ALL,ALL,ALL,0TO99
652,876,2010,6116.23,ALL,ALL,ALL,0TO99
652,877,2010,5152.24,ALL,ALL,ALL,0TO99
652,879,2010,1274.43,ALL,ALL,ALL,0TO99
652,880,2010,2287.34,ALL,ALL,ALL,0TO99
652,881,2010,2284.91,ALL,ALL,ALL,0TO99
652,882,2010,2282.38,ALL,ALL,ALL,0TO99
652,883,2010,2279.85,ALL,ALL,ALL,0TO99
652,884,2010,2868.60,ALL,ALL,ALL,0TO99
652,885,2010,7032.26,ALL,ALL,ALL,0TO99
652,886,2010,6637.84,ALL,ALL,ALL,0TO99
653,743,2010,0.00,ALL,ALL,ALL,0TO99
653,836,2010,165.79,ALL,ALL,ALL,0TO99
653,837,2010,164.64,ALL,ALL,ALL,0TO99
653,852,2010,1015.86,ALL,ALL,ALL,0TO99
653,853,2010,1066.74,ALL,ALL,ALL,0TO99
653,854,2010,1065.72,ALL,ALL,ALL,0TO99
653,855,2010,1064.62,ALL,ALL,ALL,0TO99
