Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1895,821,2010,87.21,ALL,ALL,ALL,0TO99
1895,860,2010,109.58,ALL,ALL,ALL,0TO99
1895,861,2010,175.62,ALL,ALL,ALL,0TO99
1896,820,2010,100.36,ALL,ALL,ALL,0TO99
1896,821,2010,105.75,ALL,ALL,ALL,0TO99
1896,822,2010,105.66,ALL,ALL,ALL,0TO99
1896,823,2010,91.05,ALL,ALL,ALL,0TO99
1896,859,2010,119.35,ALL,ALL,ALL,0TO99
1896,860,2010,143.79,ALL,ALL,ALL,0TO99
1896,861,2010,143.65,ALL,ALL,ALL,0TO99
1897,819,2010,102.70,ALL,ALL,ALL,0TO99
1897,820,2010,105.84,ALL,ALL,ALL,0TO99
1897,821,2010,105.75,ALL,ALL,ALL,0TO99
1897,822,2010,105.66,ALL,ALL,ALL,0TO99
1897,823,2010,104.92,ALL,ALL,ALL,0TO99
1897,857,2010,106.05,ALL,ALL,ALL,0TO99
1897,858,2010,140.20,ALL,ALL,ALL,0TO99
1897,859,2010,143.94,ALL,ALL,ALL,0TO99
1897,860,2010,143.79,ALL,ALL,ALL,0TO99
1897,861,2010,143.65,ALL,ALL,ALL,0TO99
1897,862,2010,238.63,ALL,ALL,ALL,0TO99
1898,817,2010,83.66,ALL,ALL,ALL,0TO99
1898,818,2010,105.38,ALL,ALL,ALL,0TO99
1898,819,2010,105.93,ALL,ALL,ALL,0TO99
1898,820,2010,105.84,ALL,ALL,ALL,0TO99
1898,821,2010,105.75,ALL,ALL,ALL,0TO99
1898,822,2010,105.66,ALL,ALL,ALL,0TO99
1898,823,2010,105.57,ALL,ALL,ALL,0TO99
1898,824,2010,81.01,ALL,ALL,ALL,0TO99
1898,855,2010,107.85,ALL,ALL,ALL,0TO99
1898,856,2010,140.36,ALL,ALL,ALL,0TO99
1898,857,2010,144.21,ALL,ALL,ALL,0TO99
1898,858,2010,144.08,ALL,ALL,ALL,0TO99
1898,859,2010,143.94,ALL,ALL,ALL,0TO99
1898,860,2010,143.79,ALL,ALL,ALL,0TO99
1898,861,2010,143.65,ALL,ALL,ALL,0TO99
1898,862,2010,145.72,ALL,ALL,ALL,0TO99
1899,816,2010,69.86,ALL,ALL,ALL,0TO99
1899,817,2010,97.12,ALL,ALL,ALL,0TO99
1899,818,2010,106.02,ALL,ALL,ALL,0TO99
1899,819,2010,105.93,ALL,ALL,ALL,0TO99
1899,820,2010,105.84,ALL,ALL,ALL,0TO99
1899,821,2010,105.75,ALL,ALL,ALL,0TO99
1899,822,2010,105.66,ALL,ALL,ALL,0TO99
1899,823,2010,105.57,ALL,ALL,ALL,0TO99
1899,824,2010,104.47,ALL,ALL,ALL,0TO99
1899,830,2010,78.27,ALL,ALL,ALL,0TO99
1899,831,2010,85.59,ALL,ALL,ALL,0TO99
1899,832,2010,102.31,ALL,ALL,ALL,0TO99
1899,833,2010,104.45,ALL,ALL,ALL,0TO99
1899,834,2010,94.45,ALL,ALL,ALL,0TO99
1899,842,2010,66.27,ALL,ALL,ALL,0TO99
1899,843,2010,70.51,ALL,ALL,ALL,0TO99
1899,851,2010,82.30,ALL,ALL,ALL,0TO99
1899,852,2010,106.12,ALL,ALL,ALL,0TO99
1899,853,2010,127.17,ALL,ALL,ALL,0TO99
1899,854,2010,142.86,ALL,ALL,ALL,0TO99
1899,855,2010,144.51,ALL,ALL,ALL,0TO99
1899,856,2010,144.37,ALL,ALL,ALL,0TO99
1899,857,2010,144.22,ALL,ALL,ALL,0TO99
1899,858,2010,144.08,ALL,ALL,ALL,0TO99
1899,859,2010,143.94,ALL,ALL,ALL,0TO99
1899,860,2010,143.79,ALL,ALL,ALL,0TO99
1899,861,2010,143.65,ALL,ALL,ALL,0TO99
1899,862,2010,87.09,ALL,ALL,ALL,0TO99
1900,815,2010,71.79,ALL,ALL,ALL,0TO99
1900,816,2010,73.53,ALL,ALL,ALL,0TO99
1900,817,2010,99.74,ALL,ALL,ALL,0TO99
1900,818,2010,106.02,ALL,ALL,ALL,0TO99
1900,819,2010,105.93,ALL,ALL,ALL,0TO99
1900,820,2010,105.84,ALL,ALL,ALL,0TO99
1900,821,2010,105.75,ALL,ALL,ALL,0TO99
1900,822,2010,105.66,ALL,ALL,ALL,0TO99
1900,823,2010,105.57,ALL,ALL,ALL,0TO99
1900,824,2010,105.48,ALL,ALL,ALL,0TO99
1900,825,2010,99.24,ALL,ALL,ALL,0TO99
1900,826,2010,87.78,ALL,ALL,ALL,0TO99
1900,827,2010,92.33,ALL,ALL,ALL,0TO99
1900,828,2010,88.49,ALL,ALL,ALL,0TO99
1900,829,2010,103.92,ALL,ALL,ALL,0TO99
1900,830,2010,104.92,ALL,ALL,ALL,0TO99
1900,831,2010,104.83,ALL,ALL,ALL,0TO99
1900,832,2010,104.73,ALL,ALL,ALL,0TO99
1900,833,2010,104.64,ALL,ALL,ALL,0TO99
1900,834,2010,104.55,ALL,ALL,ALL,0TO99
1900,835,2010,104.00,ALL,ALL,ALL,0TO99
1900,836,2010,94.65,ALL,ALL,ALL,0TO99
1900,837,2010,81.64,ALL,ALL,ALL,0TO99
1900,838,2010,64.47,ALL,ALL,ALL,0TO99
1900,839,2010,70.88,ALL,ALL,ALL,0TO99
1900,840,2010,89.11,ALL,ALL,ALL,0TO99
1900,841,2010,95.65,ALL,ALL,ALL,0TO99
1900,842,2010,96.32,ALL,ALL,ALL,0TO99
1900,843,2010,96.23,ALL,ALL,ALL,0TO99
1900,844,2010,96.14,ALL,ALL,ALL,0TO99
1900,845,2010,96.04,ALL,ALL,ALL,0TO99
1900,846,2010,113.36,ALL,ALL,ALL,0TO99
1900,847,2010,140.52,ALL,ALL,ALL,0TO99
1900,848,2010,141.43,ALL,ALL,ALL,0TO99
1900,849,2010,143.71,ALL,ALL,ALL,0TO99
1900,850,2010,144.65,ALL,ALL,ALL,0TO99
1900,851,2010,145.08,ALL,ALL,ALL,0TO99
1900,852,2010,144.94,ALL,ALL,ALL,0TO99
1900,853,2010,144.79,ALL,ALL,ALL,0TO99
1900,854,2010,144.66,ALL,ALL,ALL,0TO99
1900,855,2010,144.51,ALL,ALL,ALL,0TO99
1900,856,2010,144.37,ALL,ALL,ALL,0TO99
1900,857,2010,144.22,ALL,ALL,ALL,0TO99
1900,858,2010,144.08,ALL,ALL,ALL,0TO99
1900,859,2010,143.94,ALL,ALL,ALL,0TO99
1900,860,2010,143.79,ALL,ALL,ALL,0TO99
1900,861,2010,143.65,ALL,ALL,ALL,0TO99
1900,862,2010,129.39,ALL,ALL,ALL,0TO99
1900,863,2010,181.18,ALL,ALL,ALL,0TO99
1901,809,2010,74.90,ALL,ALL,ALL,0TO99
1901,810,2010,74.62,ALL,ALL,ALL,0TO99
1901,811,2010,74.03,ALL,ALL,ALL,0TO99
1901,812,2010,73.56,ALL,ALL,ALL,0TO99
1901,813,2010,87.31,ALL,ALL,ALL,0TO99
1901,814,2010,106.19,ALL,ALL,ALL,0TO99
1901,815,2010,105.30,ALL,ALL,ALL,0TO99
1901,816,2010,87.06,ALL,ALL,ALL,0TO99
1901,817,2010,105.41,ALL,ALL,ALL,0TO99
1901,818,2010,106.02,ALL,ALL,ALL,0TO99
1901,819,2010,105.93,ALL,ALL,ALL,0TO99
1901,820,2010,105.84,ALL,ALL,ALL,0TO99
1901,821,2010,104.29,ALL,ALL,ALL,0TO99
1901,822,2010,88.05,ALL,ALL,ALL,0TO99
1901,823,2010,105.57,ALL,ALL,ALL,0TO99
1901,824,2010,105.48,ALL,ALL,ALL,0TO99
1901,825,2010,105.38,ALL,ALL,ALL,0TO99
1901,826,2010,105.29,ALL,ALL,ALL,0TO99
1901,827,2010,105.20,ALL,ALL,ALL,0TO99
1901,828,2010,105.11,ALL,ALL,ALL,0TO99
1901,829,2010,105.02,ALL,ALL,ALL,0TO99
1901,830,2010,104.92,ALL,ALL,ALL,0TO99
1901,831,2010,104.83,ALL,ALL,ALL,0TO99
1901,832,2010,104.73,ALL,ALL,ALL,0TO99
1901,833,2010,104.64,ALL,ALL,ALL,0TO99
1901,834,2010,104.55,ALL,ALL,ALL,0TO99
1901,835,2010,104.45,ALL,ALL,ALL,0TO99
1901,836,2010,104.35,ALL,ALL,ALL,0TO99
1901,837,2010,101.09,ALL,ALL,ALL,0TO99
1901,838,2010,96.68,ALL,ALL,ALL,0TO99
1901,839,2010,96.59,ALL,ALL,ALL,0TO99
1901,840,2010,96.50,ALL,ALL,ALL,0TO99
1901,841,2010,96.41,ALL,ALL,ALL,0TO99
1901,842,2010,96.32,ALL,ALL,ALL,0TO99
1901,843,2010,96.23,ALL,ALL,ALL,0TO99
1901,844,2010,96.14,ALL,ALL,ALL,0TO99
1901,845,2010,96.04,ALL,ALL,ALL,0TO99
1901,846,2010,101.54,ALL,ALL,ALL,0TO99
1901,847,2010,142.77,ALL,ALL,ALL,0TO99
1901,848,2010,145.50,ALL,ALL,ALL,0TO99
1901,849,2010,145.36,ALL,ALL,ALL,0TO99
1901,850,2010,145.22,ALL,ALL,ALL,0TO99
1901,851,2010,145.08,ALL,ALL,ALL,0TO99
1901,852,2010,144.94,ALL,ALL,ALL,0TO99
1901,853,2010,144.79,ALL,ALL,ALL,0TO99
1901,854,2010,144.66,ALL,ALL,ALL,0TO99
1901,855,2010,144.51,ALL,ALL,ALL,0TO99
1901,856,2010,144.37,ALL,ALL,ALL,0TO99
1901,857,2010,144.22,ALL,ALL,ALL,0TO99
1901,858,2010,144.08,ALL,ALL,ALL,0TO99
1901,859,2010,143.94,ALL,ALL,ALL,0TO99
1901,860,2010,143.79,ALL,ALL,ALL,0TO99
1901,861,2010,143.65,ALL,ALL,ALL,0TO99
1901,862,2010,143.50,ALL,ALL,ALL,0TO99
1901,863,2010,143.35,ALL,ALL,ALL,0TO99
1901,864,2010,153.25,ALL,ALL,ALL,0TO99
1902,808,2010,84.40,ALL,ALL,ALL,0TO99
1902,809,2010,106.05,ALL,ALL,ALL,0TO99
1902,810,2010,106.73,ALL,ALL,ALL,0TO99
1902,811,2010,106.64,ALL,ALL,ALL,0TO99
1902,812,2010,106.55,ALL,ALL,ALL,0TO99
1902,813,2010,106.46,ALL,ALL,ALL,0TO99
1902,814,2010,106.38,ALL,ALL,ALL,0TO99
1902,815,2010,106.29,ALL,ALL,ALL,0TO99
1902,816,2010,106.20,ALL,ALL,ALL,0TO99
1902,817,2010,106.11,ALL,ALL,ALL,0TO99
1902,818,2010,106.02,ALL,ALL,ALL,0TO99
1902,819,2010,105.93,ALL,ALL,ALL,0TO99
1902,820,2010,105.84,ALL,ALL,ALL,0TO99
1902,821,2010,78.89,ALL,ALL,ALL,0TO99
1902,822,2010,65.27,ALL,ALL,ALL,0TO99
1902,823,2010,105.55,ALL,ALL,ALL,0TO99
1902,824,2010,105.48,ALL,ALL,ALL,0TO99
1902,825,2010,105.38,ALL,ALL,ALL,0TO99
1902,826,2010,105.29,ALL,ALL,ALL,0TO99
1902,827,2010,105.20,ALL,ALL,ALL,0TO99
1902,828,2010,105.11,ALL,ALL,ALL,0TO99
1902,829,2010,105.02,ALL,ALL,ALL,0TO99
1902,830,2010,104.92,ALL,ALL,ALL,0TO99
1902,831,2010,104.83,ALL,ALL,ALL,0TO99
1902,832,2010,104.73,ALL,ALL,ALL,0TO99
1902,833,2010,104.64,ALL,ALL,ALL,0TO99
1902,834,2010,104.55,ALL,ALL,ALL,0TO99
1902,835,2010,104.45,ALL,ALL,ALL,0TO99
1902,836,2010,104.20,ALL,ALL,ALL,0TO99
1902,837,2010,98.10,ALL,ALL,ALL,0TO99
1902,838,2010,96.68,ALL,ALL,ALL,0TO99
1902,839,2010,96.59,ALL,ALL,ALL,0TO99
1902,840,2010,96.50,ALL,ALL,ALL,0TO99
1902,841,2010,96.41,ALL,ALL,ALL,0TO99
1902,842,2010,96.32,ALL,ALL,ALL,0TO99
1902,843,2010,96.23,ALL,ALL,ALL,0TO99
1902,844,2010,96.14,ALL,ALL,ALL,0TO99
1902,845,2010,96.04,ALL,ALL,ALL,0TO99
1902,846,2010,97.15,ALL,ALL,ALL,0TO99
1902,847,2010,140.56,ALL,ALL,ALL,0TO99
1902,848,2010,145.50,ALL,ALL,ALL,0TO99
1902,849,2010,145.36,ALL,ALL,ALL,0TO99
1902,850,2010,145.22,ALL,ALL,ALL,0TO99
1902,851,2010,145.08,ALL,ALL,ALL,0TO99
1902,852,2010,144.94,ALL,ALL,ALL,0TO99
1902,853,2010,144.79,ALL,ALL,ALL,0TO99
1902,854,2010,144.66,ALL,ALL,ALL,0TO99
1902,855,2010,144.51,ALL,ALL,ALL,0TO99
1902,856,2010,144.37,ALL,ALL,ALL,0TO99
1902,857,2010,144.22,ALL,ALL,ALL,0TO99
1902,858,2010,144.08,ALL,ALL,ALL,0TO99
1902,859,2010,143.94,ALL,ALL,ALL,0TO99
1902,860,2010,143.79,ALL,ALL,ALL,0TO99
1902,861,2010,143.65,ALL,ALL,ALL,0TO99
1902,862,2010,143.50,ALL,ALL,ALL,0TO99
1902,863,2010,143.35,ALL,ALL,ALL,0TO99
1902,864,2010,143.21,ALL,ALL,ALL,0TO99
1902,865,2010,153.53,ALL,ALL,ALL,0TO99
1902,874,2010,270.65,ALL,ALL,ALL,0TO99
1903,806,2010,85.24,ALL,ALL,ALL,0TO99
1903,807,2010,98.11,ALL,ALL,ALL,0TO99
1903,808,2010,100.72,ALL,ALL,ALL,0TO99
1903,809,2010,78.10,ALL,ALL,ALL,0TO99
1903,810,2010,77.90,ALL,ALL,ALL,0TO99
1903,811,2010,79.41,ALL,ALL,ALL,0TO99
1903,812,2010,91.61,ALL,ALL,ALL,0TO99
1903,813,2010,94.49,ALL,ALL,ALL,0TO99
1903,814,2010,96.45,ALL,ALL,ALL,0TO99
1903,815,2010,102.02,ALL,ALL,ALL,0TO99
1903,816,2010,101.68,ALL,ALL,ALL,0TO99
1903,817,2010,88.39,ALL,ALL,ALL,0TO99
1903,818,2010,100.07,ALL,ALL,ALL,0TO99
1903,819,2010,103.28,ALL,ALL,ALL,0TO99
1903,820,2010,101.46,ALL,ALL,ALL,0TO99
1903,821,2010,84.88,ALL,ALL,ALL,0TO99
1903,822,2010,64.18,ALL,ALL,ALL,0TO99
1903,823,2010,105.56,ALL,ALL,ALL,0TO99
1903,824,2010,105.48,ALL,ALL,ALL,0TO99
1903,825,2010,105.38,ALL,ALL,ALL,0TO99
1903,826,2010,105.29,ALL,ALL,ALL,0TO99
1903,827,2010,105.20,ALL,ALL,ALL,0TO99
1903,828,2010,105.11,ALL,ALL,ALL,0TO99
1903,829,2010,105.02,ALL,ALL,ALL,0TO99
1903,830,2010,104.92,ALL,ALL,ALL,0TO99
1903,831,2010,104.83,ALL,ALL,ALL,0TO99
1903,832,2010,104.73,ALL,ALL,ALL,0TO99
1903,833,2010,104.64,ALL,ALL,ALL,0TO99
1903,834,2010,104.55,ALL,ALL,ALL,0TO99
1903,835,2010,104.45,ALL,ALL,ALL,0TO99
1903,836,2010,102.44,ALL,ALL,ALL,0TO99
1903,837,2010,96.94,ALL,ALL,ALL,0TO99
1903,838,2010,96.68,ALL,ALL,ALL,0TO99
1903,839,2010,96.59,ALL,ALL,ALL,0TO99
1903,840,2010,96.50,ALL,ALL,ALL,0TO99
1903,841,2010,96.41,ALL,ALL,ALL,0TO99
1903,842,2010,96.32,ALL,ALL,ALL,0TO99
1903,843,2010,96.23,ALL,ALL,ALL,0TO99
1903,844,2010,96.14,ALL,ALL,ALL,0TO99
1903,845,2010,96.04,ALL,ALL,ALL,0TO99
1903,846,2010,109.48,ALL,ALL,ALL,0TO99
1903,847,2010,144.49,ALL,ALL,ALL,0TO99
1903,848,2010,145.50,ALL,ALL,ALL,0TO99
1903,849,2010,145.36,ALL,ALL,ALL,0TO99
1903,850,2010,145.22,ALL,ALL,ALL,0TO99
1903,851,2010,145.08,ALL,ALL,ALL,0TO99
1903,852,2010,144.94,ALL,ALL,ALL,0TO99
1903,853,2010,144.79,ALL,ALL,ALL,0TO99
1903,854,2010,144.66,ALL,ALL,ALL,0TO99
1903,855,2010,144.51,ALL,ALL,ALL,0TO99
1903,856,2010,144.37,ALL,ALL,ALL,0TO99
1903,857,2010,144.22,ALL,ALL,ALL,0TO99
1903,858,2010,144.08,ALL,ALL,ALL,0TO99
1903,859,2010,143.94,ALL,ALL,ALL,0TO99
1903,860,2010,143.79,ALL,ALL,ALL,0TO99
1903,861,2010,143.65,ALL,ALL,ALL,0TO99
1903,862,2010,143.50,ALL,ALL,ALL,0TO99
1903,863,2010,143.35,ALL,ALL,ALL,0TO99
1903,864,2010,143.21,ALL,ALL,ALL,0TO99
1903,865,2010,143.06,ALL,ALL,ALL,0TO99
1903,866,2010,145.44,ALL,ALL,ALL,0TO99
1903,867,2010,246.90,ALL,ALL,ALL,0TO99
1903,872,2010,198.98,ALL,ALL,ALL,0TO99
1903,873,2010,148.05,ALL,ALL,ALL,0TO99
1903,874,2010,141.72,ALL,ALL,ALL,0TO99
1903,875,2010,169.45,ALL,ALL,ALL,0TO99
1904,805,2010,75.06,ALL,ALL,ALL,0TO99
1904,806,2010,107.07,ALL,ALL,ALL,0TO99
1904,807,2010,106.99,ALL,ALL,ALL,0TO99
1904,808,2010,106.90,ALL,ALL,ALL,0TO99
1904,809,2010,106.82,ALL,ALL,ALL,0TO99
1904,810,2010,106.73,ALL,ALL,ALL,0TO99
1904,811,2010,106.51,ALL,ALL,ALL,0TO99
1904,812,2010,94.90,ALL,ALL,ALL,0TO99
1904,813,2010,64.53,ALL,ALL,ALL,0TO99
1904,814,2010,56.80,ALL,ALL,ALL,0TO99
1904,815,2010,58.40,ALL,ALL,ALL,0TO99
1904,816,2010,48.60,ALL,ALL,ALL,0TO99
1904,817,2010,60.44,ALL,ALL,ALL,0TO99
1904,818,2010,81.67,ALL,ALL,ALL,0TO99
1904,819,2010,91.42,ALL,ALL,ALL,0TO99
1904,820,2010,67.99,ALL,ALL,ALL,0TO99
1904,821,2010,70.90,ALL,ALL,ALL,0TO99
1904,822,2010,94.20,ALL,ALL,ALL,0TO99
1904,823,2010,105.57,ALL,ALL,ALL,0TO99
1904,824,2010,105.48,ALL,ALL,ALL,0TO99
1904,825,2010,105.38,ALL,ALL,ALL,0TO99
1904,826,2010,105.29,ALL,ALL,ALL,0TO99
1904,827,2010,105.20,ALL,ALL,ALL,0TO99
1904,828,2010,105.11,ALL,ALL,ALL,0TO99
1904,829,2010,105.02,ALL,ALL,ALL,0TO99
1904,830,2010,104.92,ALL,ALL,ALL,0TO99
1904,831,2010,104.83,ALL,ALL,ALL,0TO99
1904,832,2010,104.73,ALL,ALL,ALL,0TO99
1904,833,2010,104.64,ALL,ALL,ALL,0TO99
1904,834,2010,104.55,ALL,ALL,ALL,0TO99
1904,835,2010,104.45,ALL,ALL,ALL,0TO99
1904,836,2010,100.41,ALL,ALL,ALL,0TO99
1904,837,2010,96.77,ALL,ALL,ALL,0TO99
1904,838,2010,96.68,ALL,ALL,ALL,0TO99
1904,839,2010,96.59,ALL,ALL,ALL,0TO99
1904,840,2010,96.50,ALL,ALL,ALL,0TO99
1904,841,2010,96.41,ALL,ALL,ALL,0TO99
1904,842,2010,96.32,ALL,ALL,ALL,0TO99
1904,843,2010,96.23,ALL,ALL,ALL,0TO99
1904,844,2010,96.14,ALL,ALL,ALL,0TO99
1904,845,2010,96.66,ALL,ALL,ALL,0TO99
1904,846,2010,130.43,ALL,ALL,ALL,0TO99
1904,847,2010,145.64,ALL,ALL,ALL,0TO99
1904,848,2010,145.50,ALL,ALL,ALL,0TO99
1904,849,2010,145.36,ALL,ALL,ALL,0TO99
1904,850,2010,145.22,ALL,ALL,ALL,0TO99
1904,851,2010,145.08,ALL,ALL,ALL,0TO99
1904,852,2010,144.94,ALL,ALL,ALL,0TO99
1904,853,2010,144.79,ALL,ALL,ALL,0TO99
1904,854,2010,144.66,ALL,ALL,ALL,0TO99
1904,855,2010,144.51,ALL,ALL,ALL,0TO99
1904,856,2010,144.37,ALL,ALL,ALL,0TO99
1904,857,2010,144.22,ALL,ALL,ALL,0TO99
1904,858,2010,144.08,ALL,ALL,ALL,0TO99
1904,859,2010,143.94,ALL,ALL,ALL,0TO99
1904,860,2010,143.79,ALL,ALL,ALL,0TO99
1904,861,2010,143.65,ALL,ALL,ALL,0TO99
1904,862,2010,143.50,ALL,ALL,ALL,0TO99
1904,863,2010,143.35,ALL,ALL,ALL,0TO99
1904,864,2010,143.21,ALL,ALL,ALL,0TO99
1904,865,2010,143.06,ALL,ALL,ALL,0TO99
1904,866,2010,142.91,ALL,ALL,ALL,0TO99
1904,867,2010,142.76,ALL,ALL,ALL,0TO99
1904,868,2010,147.86,ALL,ALL,ALL,0TO99
1904,869,2010,149.83,ALL,ALL,ALL,0TO99
1904,870,2010,142.31,ALL,ALL,ALL,0TO99
1904,871,2010,142.17,ALL,ALL,ALL,0TO99
1904,872,2010,142.02,ALL,ALL,ALL,0TO99
1904,873,2010,141.86,ALL,ALL,ALL,0TO99
1904,874,2010,141.72,ALL,ALL,ALL,0TO99
1904,875,2010,141.56,ALL,ALL,ALL,0TO99
1904,876,2010,145.67,ALL,ALL,ALL,0TO99
1905,805,2010,105.58,ALL,ALL,ALL,0TO99
1905,806,2010,107.07,ALL,ALL,ALL,0TO99
1905,807,2010,106.99,ALL,ALL,ALL,0TO99
1905,808,2010,106.90,ALL,ALL,ALL,0TO99
1905,809,2010,106.82,ALL,ALL,ALL,0TO99
1905,810,2010,106.73,ALL,ALL,ALL,0TO99
1905,811,2010,106.64,ALL,ALL,ALL,0TO99
1905,812,2010,106.55,ALL,ALL,ALL,0TO99
1905,813,2010,106.46,ALL,ALL,ALL,0TO99
1905,814,2010,106.38,ALL,ALL,ALL,0TO99
1905,815,2010,105.83,ALL,ALL,ALL,0TO99
1905,816,2010,105.51,ALL,ALL,ALL,0TO99
1905,817,2010,106.11,ALL,ALL,ALL,0TO99
1905,818,2010,106.02,ALL,ALL,ALL,0TO99
1905,819,2010,105.93,ALL,ALL,ALL,0TO99
1905,820,2010,105.82,ALL,ALL,ALL,0TO99
1905,821,2010,105.73,ALL,ALL,ALL,0TO99
1905,822,2010,105.66,ALL,ALL,ALL,0TO99
1905,823,2010,105.57,ALL,ALL,ALL,0TO99
1905,824,2010,105.48,ALL,ALL,ALL,0TO99
1905,825,2010,105.38,ALL,ALL,ALL,0TO99
1905,826,2010,105.29,ALL,ALL,ALL,0TO99
1905,827,2010,105.20,ALL,ALL,ALL,0TO99
1905,828,2010,105.11,ALL,ALL,ALL,0TO99
1905,829,2010,105.02,ALL,ALL,ALL,0TO99
1905,830,2010,104.92,ALL,ALL,ALL,0TO99
1905,831,2010,104.83,ALL,ALL,ALL,0TO99
1905,832,2010,104.73,ALL,ALL,ALL,0TO99
1905,833,2010,104.64,ALL,ALL,ALL,0TO99
1905,834,2010,104.55,ALL,ALL,ALL,0TO99
1905,835,2010,104.31,ALL,ALL,ALL,0TO99
1905,836,2010,98.71,ALL,ALL,ALL,0TO99
1905,837,2010,96.77,ALL,ALL,ALL,0TO99
1905,838,2010,96.68,ALL,ALL,ALL,0TO99
1905,839,2010,96.59,ALL,ALL,ALL,0TO99
1905,840,2010,96.50,ALL,ALL,ALL,0TO99
1905,841,2010,96.41,ALL,ALL,ALL,0TO99
1905,842,2010,96.32,ALL,ALL,ALL,0TO99
1905,843,2010,96.23,ALL,ALL,ALL,0TO99
1905,844,2010,96.14,ALL,ALL,ALL,0TO99
1905,845,2010,96.41,ALL,ALL,ALL,0TO99
1905,846,2010,130.33,ALL,ALL,ALL,0TO99
1905,847,2010,145.64,ALL,ALL,ALL,0TO99
1905,848,2010,145.50,ALL,ALL,ALL,0TO99
1905,849,2010,145.36,ALL,ALL,ALL,0TO99
1905,850,2010,145.22,ALL,ALL,ALL,0TO99
1905,851,2010,145.08,ALL,ALL,ALL,0TO99
1905,852,2010,144.94,ALL,ALL,ALL,0TO99
1905,853,2010,144.79,ALL,ALL,ALL,0TO99
1905,854,2010,144.66,ALL,ALL,ALL,0TO99
1905,855,2010,144.51,ALL,ALL,ALL,0TO99
1905,856,2010,144.37,ALL,ALL,ALL,0TO99
1905,857,2010,144.22,ALL,ALL,ALL,0TO99
1905,858,2010,144.08,ALL,ALL,ALL,0TO99
1905,859,2010,143.94,ALL,ALL,ALL,0TO99
1905,860,2010,143.79,ALL,ALL,ALL,0TO99
1905,861,2010,143.65,ALL,ALL,ALL,0TO99
1905,862,2010,143.50,ALL,ALL,ALL,0TO99
1905,863,2010,143.35,ALL,ALL,ALL,0TO99
1905,864,2010,143.21,ALL,ALL,ALL,0TO99
1905,865,2010,143.06,ALL,ALL,ALL,0TO99
1905,866,2010,142.91,ALL,ALL,ALL,0TO99
1905,867,2010,142.76,ALL,ALL,ALL,0TO99
1905,868,2010,142.61,ALL,ALL,ALL,0TO99
1905,869,2010,142.47,ALL,ALL,ALL,0TO99
1905,870,2010,142.31,ALL,ALL,ALL,0TO99
1905,871,2010,142.17,ALL,ALL,ALL,0TO99
1905,872,2010,142.02,ALL,ALL,ALL,0TO99
1905,873,2010,141.86,ALL,ALL,ALL,0TO99
1905,874,2010,141.72,ALL,ALL,ALL,0TO99
1905,875,2010,141.56,ALL,ALL,ALL,0TO99
1905,876,2010,141.41,ALL,ALL,ALL,0TO99
1906,805,2010,96.00,ALL,ALL,ALL,0TO99
1906,806,2010,107.07,ALL,ALL,ALL,0TO99
1906,807,2010,106.99,ALL,ALL,ALL,0TO99
1906,808,2010,106.90,ALL,ALL,ALL,0TO99
1906,809,2010,106.82,ALL,ALL,ALL,0TO99
1906,810,2010,106.73,ALL,ALL,ALL,0TO99
1906,811,2010,106.64,ALL,ALL,ALL,0TO99
1906,812,2010,106.55,ALL,ALL,ALL,0TO99
1906,813,2010,106.46,ALL,ALL,ALL,0TO99
1906,814,2010,106.38,ALL,ALL,ALL,0TO99
1906,815,2010,106.29,ALL,ALL,ALL,0TO99
1906,816,2010,106.20,ALL,ALL,ALL,0TO99
1906,817,2010,106.11,ALL,ALL,ALL,0TO99
1906,818,2010,106.02,ALL,ALL,ALL,0TO99
1906,819,2010,105.93,ALL,ALL,ALL,0TO99
1906,820,2010,105.84,ALL,ALL,ALL,0TO99
1906,821,2010,105.75,ALL,ALL,ALL,0TO99
1906,822,2010,105.66,ALL,ALL,ALL,0TO99
1906,823,2010,105.57,ALL,ALL,ALL,0TO99
1906,824,2010,105.48,ALL,ALL,ALL,0TO99
1906,825,2010,105.38,ALL,ALL,ALL,0TO99
1906,826,2010,105.29,ALL,ALL,ALL,0TO99
1906,827,2010,105.20,ALL,ALL,ALL,0TO99
1906,828,2010,105.11,ALL,ALL,ALL,0TO99
1906,829,2010,105.02,ALL,ALL,ALL,0TO99
1906,830,2010,104.92,ALL,ALL,ALL,0TO99
1906,831,2010,104.83,ALL,ALL,ALL,0TO99
1906,832,2010,104.73,ALL,ALL,ALL,0TO99
1906,833,2010,104.64,ALL,ALL,ALL,0TO99
1906,834,2010,104.55,ALL,ALL,ALL,0TO99
1906,835,2010,103.58,ALL,ALL,ALL,0TO99
1906,836,2010,97.46,ALL,ALL,ALL,0TO99
1906,837,2010,96.77,ALL,ALL,ALL,0TO99
1906,838,2010,96.68,ALL,ALL,ALL,0TO99
1906,839,2010,96.59,ALL,ALL,ALL,0TO99
1906,840,2010,96.50,ALL,ALL,ALL,0TO99
1906,841,2010,96.41,ALL,ALL,ALL,0TO99
1906,842,2010,96.32,ALL,ALL,ALL,0TO99
1906,843,2010,96.23,ALL,ALL,ALL,0TO99
1906,844,2010,96.14,ALL,ALL,ALL,0TO99
1906,845,2010,96.04,ALL,ALL,ALL,0TO99
1906,846,2010,111.67,ALL,ALL,ALL,0TO99
